Name,city_ibge_code,estimated_population_2019
Alto Garças-MT,5100409.0,12030.0
Gaúcha do Norte-MT,5103858.0,7648.0
Alto Paraguai-MT,5100508.0,11356.0
Curvelândia-MT,5103437.0,5219.0
Denise-MT,5103452.0,9462.0
Cáceres-MT,5102504.0,94376.0
Diamantino-MT,5103502.0,22041.0
Dom Aquino-MT,5103601.0,8178.0
Alto Taquari-MT,5100607.0,10847.0
Apiacás-MT,5100805.0,10133.0
Ipiranga do Norte-MT,5104526.0,7667.0
Alta Floresta-MT,5100250.0,51782.0
Indiavaí-MT,5104500.0,2752.0
Acorizal-MT,5100102.0,5399.0
Itanhangá-MT,5104542.0,6737.0
Guiratinga-MT,5104203.0,15141.0
Glória D'Oeste-MT,5103957.0,3026.0
Guarantã do Norte-MT,5104104.0,35816.0
Alto Boa Vista-MT,5100359.0,6822.0
Alto Araguaia-MT,5100300.0,19044.0
Araguaiana-MT,5101001.0,3100.0
Bom Jesus do Araguaia-MT,5101852.0,6580.0
Chapada dos Guimarães-MT,5103007.0,19752.0
Cláudia-MT,5103056.0,12149.0
Carlinda-MT,5102793.0,10305.0
Castanheira-MT,5102850.0,8729.0
Cocalinho-MT,5103106.0,5700.0
Barão de Melgaço-MT,5101605.0,8564.0
Campos de Júlio-MT,5102686.0,6891.0
Canabrava do Norte-MT,5102694.0,4743.0
Campo Verde-MT,5102678.0,44041.0
Campo Novo do Parecis-MT,5102637.0,35360.0
Brasnorte-MT,5101902.0,19695.0
Campinápolis-MT,5102603.0,15980.0
Canarana-MT,5102702.0,21579.0
Cotriguaçu-MT,5103379.0,19750.0
Confresa-MT,5103353.0,30933.0
Conquista D'Oeste-MT,5103361.0,4038.0
Arenápolis-MT,5101308.0,9607.0
Araguainha-MT,5101209.0,935.0
Araputanga-MT,5101258.0,16822.0
Cuiabá-MT,5103403.0,612547.0
Barra do Bugres-MT,5101704.0,34966.0
Colíder-MT,5103205.0,33438.0
Barra do Garças-MT,5101803.0,61012.0
Colniza-MT,5103254.0,38582.0
Comodoro-MT,5103304.0,20763.0
Aripuanã-MT,5101407.0,22354.0
Juína-MT,5105150.0,40997.0
Lambari D'Oeste-MT,5105234.0,6121.0
Jauru-MT,5105002.0,8793.0
Juara-MT,5105101.0,34974.0
Juruena-MT,5105176.0,15865.0
Juscimeira-MT,5105200.0,11221.0
Matupá-MT,5105606.0,16566.0
Marcelândia-MT,5105580.0,10499.0
Mirassol d'Oeste-MT,5105622.0,27739.0
Lucas do Rio Verde-MT,5105259.0,65534.0
Luciara-MT,5105309.0,2077.0
Itiquira-MT,5104609.0,13345.0
Jaciara-MT,5104807.0,27776.0
Jangada-MT,5104906.0,8409.0
Itaúba-MT,5104559.0,3802.0
Curral de Cima-PB,2505279.0,5227.0
Umbuzeiro-PB,2517001.0,9907.0
Dona Inês-PB,2505709.0,10453.0
São Sebastião de Lagoa de Roça-PB,2515104.0,11661.0
Desterro-PB,2505402.0,8297.0
Diamante-PB,2505600.0,6552.0
Uiraúna-PB,2516904.0,15242.0
Taperoá-PB,2516508.0,15376.0
São Miguel de Taipu-PB,2515005.0,7368.0
