index;count
2021-05-04;22
2021-05-05;53
2021-05-06;74
2021-05-07;190
2021-05-08;331
2021-05-09;331
2021-05-10;350
2021-05-11;579
2021-05-12;687
2021-05-13;732
2021-05-14;768
2021-05-15;822
2021-05-16;822
2021-05-17;848
2021-05-18;868
2021-05-19;901
2021-05-20;1104
2021-05-21;1105
2021-05-22;1105
2021-05-23;1105
2021-05-24;1105
2021-05-25;1105
2021-05-26;1253
2021-05-27;1469
2021-05-28;1698
2021-05-29;1698
2021-05-30;1698
2021-05-31;1887
2021-06-01;2193
2021-06-02;2466
2021-06-03;2618
2021-06-04;2618
2021-06-05;2618
2021-06-06;2618
2021-06-07;2618
2021-06-08;2618
2021-06-09;2627
2021-06-10;2628
2021-06-11;2628
2021-06-12;2628
2021-06-13;2628
2021-06-14;2628
2021-06-15;2628
2021-06-16;2628
2021-06-17;2628
2021-06-18;2628
2021-06-19;2628
2021-06-20;2628
2021-06-21;2628
2021-06-22;2628
2021-06-23;2628
2021-06-24;2628
2021-06-25;2628
2021-06-26;2628
2021-06-27;2628
2021-06-28;2628
2021-06-29;2628
2021-06-30;2628
2021-07-01;2628
2021-07-02;2628
2021-07-03;2628
2021-07-04;2628
2021-07-05;2628
2021-07-06;2633
2021-07-07;2649
2021-07-08;2665
2021-07-09;2686
2021-07-10;2686
2021-07-11;2686
2021-07-12;2719
2021-07-13;3555
2021-07-14;3555
2021-07-15;3648
2021-07-16;4375
2021-07-17;4376
2021-07-18;4376
2021-07-19;4384
2021-07-20;4428
2021-07-21;4945
2021-07-22;5375
2021-07-23;5401
