index;count
2021-05-04;10
2021-05-05;19
2021-05-06;20
2021-05-07;20
2021-05-08;20
2021-05-09;20
2021-05-10;20
2021-05-11;20
2021-05-12;20
2021-05-13;20
2021-05-14;20
2021-05-15;20
2021-05-16;20
2021-05-17;20
2021-05-18;20
2021-05-19;20
2021-05-20;20
2021-05-21;20
2021-05-22;121
2021-05-23;121
2021-05-24;121
2021-05-25;121
2021-05-26;121
2021-05-27;121
2021-05-28;121
2021-05-29;121
2021-05-30;121
2021-05-31;121
2021-06-01;121
2021-06-02;121
2021-06-03;121
2021-06-04;121
2021-06-05;121
2021-06-06;121
2021-06-07;121
2021-06-08;121
2021-06-09;121
2021-06-10;121
2021-06-11;121
2021-06-12;121
2021-06-13;121
2021-06-14;121
2021-06-15;121
2021-06-16;167
2021-06-17;235
2021-06-18;269
2021-06-19;269
2021-06-20;269
2021-06-21;269
2021-06-22;269
2021-06-23;269
2021-06-24;269
2021-06-25;269
2021-06-26;269
2021-06-27;269
2021-06-28;278
2021-06-29;278
2021-06-30;278
2021-07-01;278
2021-07-02;284
2021-07-03;378
2021-07-04;378
2021-07-05;378
2021-07-06;378
2021-07-07;378
2021-07-08;378
2021-07-09;378
2021-07-10;438
2021-07-11;438
2021-07-12;438
2021-07-13;438
2021-07-14;438
2021-07-15;438
2021-07-16;438
2021-07-17;438
2021-07-18;438
2021-07-19;438
2021-07-20;438
2021-07-21;510
2021-07-22;620
